Word,Average_Fiability_Score,Occurrences
sifflement,2.78,9
usé,2.5,4
vibration,2.41,63
bruit anormal,2.34,107
bruit,2.29,122
anormal,2.22,132
température élevée,2.14,14
fissure,2.14,7
vibrations,2.0,3
écoulement,2.0,1
déséquilibre,2.0,1
dépassement,2.0,1
dépôt,2.0,3
étanchéité,1.82,44
trip,1.77,13
alarm,1.75,85
fissuré,1.75,4
alarme,1.73,82
percement,1.73,267
percé,1.7,20
verification,1.67,6
instable,1.67,3
aggravation,1.64,11
corrosion,1.62,8
dégradation,1.58,19
hot,1.56,9
température,1.55,181
temp,1.54,230
insuffisant,1.5,12
hors service,1.5,20
échauffement,1.5,6
evacuation,1.5,4
court-circuit,1.5,2
grave,1.5,2
coupure,1.5,2
secours,1.46,13
évacuation,1.46,121
refroidissement,1.44,57
chaud,1.43,263
augmentation,1.4,10
arc,1.4,15
indisponible,1.38,55
fermeture,1.38,32
endommagé,1.38,8
surchauffe,1.37,51
déclenchement,1.37,30
écart,1.36,22
risque,1.36,11
déformation,1.33,3
bloqué,1.32,31
contrôle,1.31,601
fuite,1.3,1051
arrêt,1.28,83
décharge,1.27,26
blocage,1.25,57
cassé,1.25,8
changement,1.24,92
isolement,1.23,246
faible,1.22,23
important,1.21,28
remplacement,1.21,52
change,1.2,151
usure,1.2,5
fuite importante,1.19,16
importante,1.18,17
électrique,1.18,93
vérification,1.17,6
réparation,1.16,38
inspection,1.14,128
problème,1.12,32
dysfonctionnement,1.11,37
défaillance,1.09,11
révision,1.04,24
encrassement,1.03,109
stop,1.0,3
urgence,1.0,5
sale,1.0,5
mauvais,1.0,2
arrêt d'urgence,1.0,3
performance,1.0,3
problem,1.0,4
low,1.0,1
perturbation,1.0,4
critique,1.0,1
oscillation,1.0,12
casse,1.0,8
panne,1.0,2
variation,1.0,3
détérioration,1.0,8
infiltration,1.0,1
rupture,1.0,1
urgent,1.0,1
