Word,Average_Process_Safety_Score,Occurrences
safety,5.0,380
détérioration,5.0,4
rupture,5.0,1
court-circuit,4.0,2
incendie,3.89,9
evacuation,3.5,4
dégradation,3.37,19
percement,3.27,267
epi,3.0,4
risque,3.0,11
instable,3.0,6
sûreté,3.0,1
écoulement,3.0,1
dépôt,3.0,3
urgent,3.0,1
endommagé,2.88,8
sale,2.8,5
importante,2.76,17
fuite importante,2.75,16
arc,2.73,15
évacuation,2.69,121
fuite,2.68,1051
échauffement,2.67,6
vibrations,2.67,3
chaud,2.58,263
fissure,2.57,7
important,2.54,28
niveau,2.46,1127
indisponible,2.45,55
défaillance,2.45,11
secours,2.38,13
isolement,2.37,246
stop,2.33,3
sécurité,2.33,9
arrêt d'urgence,2.33,3
acide,2.33,6
acid,2.33,6
surchauffe,2.2,51
trip,2.15,13
corrosion,2.12,8
décharge,2.04,26
électrique,2.04,93
déclenchement,2.03,30
limite,2.0,7
limit,2.0,7
cassé,2.0,8
burn,2.0,3
hot,2.0,9
déséquilibre,2.0,1
dépassement,2.0,1
infiltration,2.0,1
vanne,1.94,795
étanchéité,1.93,44
vibration,1.89,63
sifflement,1.89,9
ppe,1.86,146
blocage,1.86,57
dysfonctionnement,1.86,37
remplacement,1.85,52
urgence,1.8,5
anormal,1.77,132
fissuré,1.75,4
casse,1.75,16
bruit,1.74,122
bruit anormal,1.64,107
arrêt,1.63,83
réparation,1.58,38
écart,1.55,22
problème,1.53,32
pression,1.51,208
change,1.5,151
erreur,1.5,2
grave,1.5,2
coupure,1.5,2
usé,1.5,4
révision,1.46,24
bloqué,1.45,31
soupape,1.44,120
inspection,1.43,128
changement,1.41,92
fermeture,1.41,32
contrôle,1.37,601
refroidissement,1.37,57
température,1.36,181
temp,1.33,230
vérification,1.33,6
déformation,1.33,3
verification,1.33,6
débit,1.31,67
percé,1.3,20
alarme,1.29,82
alarm,1.28,85
encrassement,1.27,109
formation,1.2,5
seuil,1.2,10
ouverture,1.18,45
oscillation,1.17,12
hors service,1.15,20
minimum,1.1,41
valve,1.0,3
température élevée,1.0,14
usure,1.0,10
overload,1.0,1
problem,1.0,4
réactif,1.0,3
éclatement,1.0,2
perturbation,1.0,4
critique,1.0,1
surcharge,1.0,1
maximum,1.0,1
panne,1.0,2
variation,1.0,3
base,1.0,1
