Word,Average_Score,Occurrences
low,4.0,1
panne,4.0,2
sifflement,3.89,9
augmentation,3.8,10
écart,3.18,22
verification,3.17,6
surchauffe,3.12,51
alarm,3.01,85
refroidissement,3.0,57
température élevée,3.0,14
perturbation,3.0,4
instable,3.0,3
écoulement,3.0,1
usé,3.0,4
alarme,2.99,82
risque,2.91,11
vibration,2.9,63
fissuré,2.75,4
vibrations,2.67,3
hot,2.67,9
cassé,2.62,8
corrosion,2.62,8
arrêt,2.6,83
étanchéité,2.57,44
température,2.52,181
anormal,2.48,132
fermeture,2.47,32
temp,2.46,230
aggravation,2.45,11
bruit anormal,2.44,107
bruit,2.39,122
isolement,2.33,246
arrêt d'urgence,2.33,3
variation,2.33,3
fissure,2.29,7
usure,2.2,5
blocage,2.18,57
change,2.17,151
vérification,2.17,6
secours,2.15,13
hors service,2.15,20
remplacement,2.08,52
chaud,2.05,263
court-circuit,2.0,2
critique,2.0,1
oscillation,2.0,12
déséquilibre,2.0,1
dépassement,2.0,1
urgent,2.0,1
contrôle,1.99,601
fuite,1.95,1051
fuite importante,1.94,16
changement,1.91,92
percé,1.9,20
important,1.89,28
importante,1.88,17
bloqué,1.84,31
urgence,1.8,5
dégradation,1.79,19
insuffisant,1.75,12
révision,1.75,24
endommagé,1.75,8
décharge,1.73,26
percement,1.73,267
réparation,1.68,38
stop,1.67,3
arc,1.67,15
électrique,1.61,93
indisponible,1.56,55
faible,1.52,23
échauffement,1.5,6
grave,1.5,2
coupure,1.5,2
trip,1.46,13
déclenchement,1.43,30
inspection,1.41,128
dysfonctionnement,1.41,37
encrassement,1.33,109
déformation,1.33,3
problème,1.22,32
défaillance,1.18,11
casse,1.12,8
évacuation,1.09,121
sale,1.0,5
mauvais,1.0,2
performance,1.0,3
problem,1.0,4
evacuation,1.0,4
détérioration,1.0,8
infiltration,1.0,1
rupture,1.0,1
dépôt,1.0,3
